id,id_objecta,id_spr_etap_rabot,id_otvetstvennogo,id_avtor,data_nachala_rabot,data_okonchaniya_rabot,document_number,srok_dney,comment,status
9825,212045122,8,6,6,2012-08-24,2012-08-24,,,," ? ??????"
9826,212045123,9,13,13,2012-07-23,2012-07-23,182,,," ? ??????"
9827,212045124,80,14,14,2012-08-01,2012-07-31,,,," ? ??????"
9828,212045125,8,6,6,2012-07-31,2012-07-31,,,," ? ??????"
9829,212045126,8,6,6,2012-07-31,2012-07-31,,,," ? ??????"
9830,212045127,8,13,13,2012-08-06,2012-08-04,,,," ? ??????"
9831,212045128,8,13,13,2012-08-06,2012-08-04,,,," ? ??????"
9832,212045129,8,6,6,2012-09-06,2012-09-06,,,," ? ??????"
9833,212045130,8,6,6,2012-09-06,2012-09-06,,,"13.09.12 ??????? ??????? ????? ??????????? ????????? ???. ?? ????? ?? ???????? ??"," ? ??????"
9834,212045131,8,6,6,2012-09-19,2012-09-19,,,," ? ??????"
9835,212045132,8,6,6,2012-09-18,2012-09-18,,,," ? ??????"
9836,212045133,8,14,14,2012-09-17,2012-09-17,,,"20.09.12 ??????? ??????? ????? ??????????? ????????? ???. ?? ?? ??????????? ?????? ??"," ? ??????"
9837,212045134,8,6,6,2012-09-06,2012-09-06,,,," ? ??????"
9838,212045135,8,14,14,2012-09-20,2012-09-20,,,," ? ??????"
9839,212045136,8,6,6,2012-08-28,2012-08-28,,,," ? ??????"
9840,212045137,8,14,14,2012-09-20,2012-09-20,,,," ? ??????"
9841,212045138,80,20,20,2012-08-29,2012-08-29,,,," ? ??????"
9842,212045139,8,6,6,2012-08-28,2012-08-28,,,," ? ??????"
9843,212045140,67,20,20,2012-09-14,2012-09-14,,,????????????," ? ??????"
9844,212045141,8,6,6,2012-09-21,2012-09-26,,,," ? ??????"
9845,212045142,8,6,6,2012-09-13,2012-09-13,,,"24.09.12 ??????? ??????? ????? ??????????? ????????? ???. ?? ?? ??????????? ?????? ??"," ? ??????"
9846,212045143,8,6,6,2012-07-23,2012-07-19,,,," ? ??????"
9847,212045144,8,6,6,2012-07-23,2012-07-23,,,," ? ??????"
9848,212045145,4,13,13,2012-06-25,2012-06-21,40-27311,,," ? ??????"
9849,212045146,9,14,14,2012-07-26,2012-07-26,193,,," ? ??????"
9850,212045147,80,14,14,2012-08-10,2012-08-10,,,," ? ??????"
